participant_id,dataset_type,split
SC402,SC,test
SC411,SC,test
SC423,SC,test
SC444,SC,test
SC449,SC,test
SC453,SC,test
SC458,SC,test
SC460,SC,test
SC461,SC,test
SC464,SC,test
SC473,SC,test
SC474,SC,test
ST710,ST,test
ST714,ST,test
ST722,ST,test
SC400,SC,train
SC403,SC,train
SC404,SC,train
SC405,SC,train
SC406,SC,train
SC407,SC,train
SC408,SC,train
SC409,SC,train
SC410,SC,train
SC412,SC,train
SC413,SC,train
SC415,SC,train
SC416,SC,train
SC417,SC,train
SC418,SC,train
SC419,SC,train
SC422,SC,train
SC425,SC,train
SC426,SC,train
SC427,SC,train
SC428,SC,train
SC430,SC,train
SC431,SC,train
SC433,SC,train
SC434,SC,train
SC435,SC,train
SC436,SC,train
SC438,SC,train
SC440,SC,train
SC441,SC,train
SC442,SC,train
SC443,SC,train
SC445,SC,train
SC446,SC,train
SC447,SC,train
SC448,SC,train
SC450,SC,train
SC451,SC,train
SC454,SC,train
SC455,SC,train
SC456,SC,train
SC457,SC,train
SC459,SC,train
SC462,SC,train
SC463,SC,train
SC465,SC,train
SC466,SC,train
SC467,SC,train
SC470,SC,train
SC472,SC,train
SC475,SC,train
SC477,SC,train
SC480,SC,train
SC481,SC,train
SC482,SC,train
ST702,ST,train
ST704,ST,train
ST705,ST,train
ST706,ST,train
ST707,ST,train
ST709,ST,train
ST711,ST,train
ST712,ST,train
ST713,ST,train
ST715,ST,train
ST717,ST,train
ST718,ST,train
ST719,ST,train
ST720,ST,train
ST721,ST,train
SC401,SC,val
SC414,SC,val
SC420,SC,val
SC421,SC,val
SC424,SC,val
SC429,SC,val
SC432,SC,val
SC437,SC,val
SC452,SC,val
SC471,SC,val
SC476,SC,val
ST701,ST,val
ST708,ST,val
ST716,ST,val
ST724,ST,val
