experiment,accuracy,balanced_accuracy,macro_f1,weighted_f1
Weighted loss,0.7762,0.7454,0.6431,0.8006
Moderated weighting,0.7983,0.7111,0.6554,0.8146
Unweighted loss,0.8589,0.7046,0.7024,0.8601
5 epochs,0.8387,0.68,0.6746,0.8403
10 epochs,0.841,0.6821,0.6795,0.8442
20 epochs,0.8602,0.6985,0.7017,0.8614
LSTM(32),0.8662,0.7004,0.7081,0.867
LSTM(64),0.8602,0.6985,0.7017,0.8614
LSTM(128),0.8332,0.6656,0.6546,0.8413
Stacked LSTM(32+32),0.874,0.7039,0.7146,0.8722
Bidirectional LSTM,0.8651,0.7067,0.707,0.8671
Attention LSTM,0.8452,0.6817,0.6733,0.8506
