Metric,Mean,Std,Mean ± SD
Accuracy,0.8240124246825523,0.002284767658533936,0.8240 ± 0.0023
Balanced Accuracy,0.6539906380850479,0.0024177280476368425,0.6540 ± 0.0024
Macro Precision,0.6664808297043615,0.003992780232280233,0.6665 ± 0.0040
Macro Recall,0.6539906380850479,0.0024177280476368425,0.6540 ± 0.0024
Macro F1,0.6525915671670388,0.000720695451844938,0.6526 ± 0.0007
Weighted F1,0.8233501444955215,0.0012130940269076088,0.8234 ± 0.0012
Cohen's Kappa,0.682310925078213,0.0028798564592200627,0.6823 ± 0.0029
Macro ROC-AUC,0.9449593196861946,0.00014455543446777015,0.9450 ± 0.0001
Weighted ROC-AUC,0.9634466445978499,0.0005676770705623784,0.9634 ± 0.0006
Micro ROC-AUC,0.9718142008531875,0.0006739221564230748,0.9718 ± 0.0007
